CRRES EMIC wave events, their positions, and magnetospheric conditions
Data:
          orbit           year        yearday           xpos           ypos           zpos             ls            mlt           mlat     phase
            118           1990    255.4361115  14939.4160156  31728.1445312   7018.9755859      6.7649384      4.8719921     21.8386593     quiet
            118           1990    255.4367981  14869.8525391  31839.2089844   7062.0288086      6.7824602      4.8833299     21.8815002     quiet
            118           1990    255.4375000  14797.9707031  31945.3125000   7103.9814453      6.7990742      4.8944221     21.9226398     quiet
            118           1990    255.4382019  14726.0888672  32051.4179688   7145.9335938      6.8156881      4.9055138     21.9637794     quiet
            118           1990    255.4388885  14654.2080078  32157.5214844   7187.8862305      6.8323021      4.9166059     22.0049210     quiet
            118           1990    255.4416656  14362.2949219  32572.1542969   7353.4980469      6.8975902      4.9605222     22.1661606     quiet
            118           1990    255.4423676  14288.2197266  32673.3652344   7394.3520508      6.9136200      4.9713879     22.2056389     quiet
            118           1990    255.4430542  14214.1455078  32774.5781250   7435.2055664      6.9296503      4.9822540     22.2451191     quiet
            118           1990    255.4437561  14140.0703125  32875.7890625   7476.0590820      6.9456801      4.9931202     22.2845993     quiet
            118           1990    255.4444427  14063.9189453  32972.1757812   7515.8149414      6.9608240      5.0037823     22.3225403     quiet
            118           1990    255.4451447  13987.7666016  33068.5585938   7555.5708008      6.9759679      5.0144444     22.3604794     quiet
            124           1990    257.8645935  17454.7714844  24734.2714844   4744.8793945      4.9048262      4.2202463     -1.8776600     quiet
            124           1990    257.8652649  17414.4863281  24898.7285156   4799.3515625      4.9241118      4.2360520     -1.8102300     quiet
            124           1990    257.8659668  17374.2011719  25063.1855469   4853.8232422      4.9433980      4.2518582     -1.7428000     quiet
            124           1990    257.8666687  17333.9160156  25227.6425781   4908.2954102      4.9626837      4.2676640     -1.6753700     quiet
            124           1990    257.8673706  17293.6308594  25392.0996094   4962.7670898      4.9819698      4.2834702     -1.6079400     quiet
            124           1990    257.8680420  17249.2246094  25550.5097656   5016.0571289      5.0004201      4.2987142     -1.5438360     quiet
            124           1990    257.8687439  17204.8203125  25708.9199219   5069.3471680      5.0188699      4.3139582     -1.4797320     quiet
            124           1990    257.8694458  17160.4140625  25867.3320312   5122.6372070      5.0373201      4.3292022     -1.4156280     quiet
            133           1990    261.6284790  10103.6083984  35834.0195312   9317.2167969      6.5793958      5.0045319     15.9816599      main
            133           1990    261.6291809  10013.9267578  35898.8007812   9349.0273438      6.5870342      5.0150681     15.9964390      main
            136           1990    262.7645874  17641.4707031  16864.1835938   2665.5856934      3.8877921      3.1532941     -3.8428700  recovery
            136           1990    262.7652893  17650.7285156  17092.2500000   2732.8242188      3.9155700      3.1782501     -3.7173800  recovery
            136           1990    262.7659607  17651.5937500  17312.1972656   2798.7656250      3.9425521      3.2016242     -3.6021280  recovery
            136           1990    262.7666626  17652.4609375  17532.1445312   2864.7072754      3.9695339      3.2249980     -3.4868760  recovery
            148           1990    267.8819580  -4422.0312500  36567.3203125  11708.0800781      6.2152200      6.3072538      7.9673882     quiet
            148           1990    267.8826294  -4521.4208984  36514.6914062  11704.4941406      6.2092700      6.3179998      7.9733300     quiet
            148           1990    267.8833313  -4620.2470703  36457.5117188  11699.4482422      6.2027779      6.3288617      7.9790001     quiet
            148           1990    267.8840332  -4719.0732422  36400.3320312  11694.4023438      6.1962857      6.3397241      7.9846702     quiet
            148           1990    267.8875122  -5211.9243164  36105.2421875  11666.2119141      6.1627178      6.3942943      8.0124645     quiet
            148           1990    267.8881836  -5310.1103516  36043.4687500  11659.6855469      6.1556721      6.4052858      8.0178556     quiet
